Model,Accuracy,Precision,Recall,F1,ROC_AUC,Train Error,Test Error,n_neighbors
KNeighborsClassifier(n_neighbors=1),0.6043956043956044,0.41935483870967744,0.41935483870967744,0.41935483870967744,0.5596774193548387,0.0,0.39560439560439564,1
KNeighborsClassifier(n_neighbors=2),0.5934065934065934,0.25,0.0967741935483871,0.13953488372093023,0.5271505376344086,0.22764227642276424,0.4065934065934066,2
KNeighborsClassifier(n_neighbors=3),0.5604395604395604,0.3333333333333333,0.2903225806451613,0.3103448275862069,0.5236559139784946,0.22764227642276424,0.43956043956043955,3
KNeighborsClassifier(n_neighbors=4),0.6043956043956044,0.3333333333333333,0.16129032258064516,0.21739130434782605,0.5782258064516129,0.2737127371273713,0.39560439560439564,4
KNeighborsClassifier(),0.6373626373626373,0.46153846153846156,0.3870967741935484,0.42105263157894735,0.6155913978494624,0.26287262872628725,0.3626373626373627,5
KNeighborsClassifier(n_neighbors=6),0.6153846153846154,0.3333333333333333,0.12903225806451613,0.18604651162790697,0.6276881720430108,0.2682926829268293,0.3846153846153846,6
KNeighborsClassifier(n_neighbors=7),0.6483516483516484,0.47368421052631576,0.2903225806451613,0.36,0.628494623655914,0.2574525745257452,0.3516483516483516,7
KNeighborsClassifier(n_neighbors=8),0.6483516483516484,0.4666666666666667,0.22580645161290322,0.3043478260869565,0.6341397849462366,0.2682926829268293,0.3516483516483516,8
KNeighborsClassifier(n_neighbors=9),0.6593406593406593,0.5,0.3225806451612903,0.39215686274509803,0.614247311827957,0.24119241192411922,0.34065934065934067,9
