epochs,firstHU,secondHU,lr,acc,trainAcc
10,10,10,0.01,0.5645,0.55444
10,10,10,0.1,0.8077,0.81124
10,10,10,0.5,0.8594,0.85032
10,10,10,0.9,0.5462,0.5427
10,10,30,0.01,0.8001,0.79344
10,10,30,0.1,0.9219,0.9251
10,10,30,0.5,0.9176,0.91834
10,10,30,0.9,0.8902,0.88854
10,10,50,0.01,0.7382,0.73718
10,10,50,0.1,0.928,0.93366
10,10,50,0.5,0.8487,0.85176
10,10,50,0.9,0.9018,0.89898
10,30,10,0.01,0.6663,0.66042
10,30,10,0.1,0.9061,0.90828
10,30,10,0.5,0.8065,0.79452
10,30,10,0.9,0.6937,0.68486
10,30,30,0.01,0.8377,0.82982
10,30,30,0.1,0.9284,0.92924
10,30,30,0.5,0.9177,0.91908
10,30,30,0.9,0.8902,0.88716
10,30,50,0.01,0.8134,0.81018
10,30,50,0.1,0.8632,0.86358
10,30,50,0.5,0.9325,0.93704
10,30,50,0.9,0.7766,0.77606
10,50,10,0.01,0.7244,0.71718
10,50,10,0.1,0.8829,0.88004
10,50,10,0.5,0.7534,0.7465
10,50,10,0.9,0.6901,0.68328
10,50,30,0.01,0.8236,0.81976
10,50,30,0.1,0.9266,0.93416
10,50,30,0.5,0.921,0.92196
10,50,30,0.9,0.8717,0.86794
10,50,50,0.01,0.7564,0.7535
10,50,50,0.1,0.8501,0.85348
10,50,50,0.5,0.8513,0.85774
10,50,50,0.9,0.9062,0.90732
10,70,10,0.01,0.7589,0.75198
10,70,10,0.1,0.8183,0.8225
10,70,10,0.5,0.7466,0.73918
10,70,10,0.9,0.7535,0.74108
10,70,30,0.01,0.8429,0.8385
10,70,30,0.1,0.9282,0.93168
10,70,30,0.5,0.9129,0.91648
10,70,30,0.9,0.8523,0.85146
10,70,50,0.01,0.8246,0.82266
10,70,50,0.1,0.8497,0.85228
10,70,50,0.5,0.9326,0.93728
10,70,50,0.9,0.913,0.90982
10,90,10,0.01,0.7397,0.74448
10,90,10,0.1,0.8161,0.82004
10,90,10,0.5,0.8389,0.82472
10,90,10,0.9,0.6241,0.61704
10,90,30,0.01,0.8658,0.85726
10,90,30,0.1,0.9241,0.93162
